PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
41491,894900000,2021,1,2,6,48,40,247,17.324516,-19.6168,-36.893314,33.97369291,-117.7738425,347.184019,0.054674,-0.415005,-0.082869
41492,897400000,2021,1,2,6,48,40,247,17.295731,-19.595448,-36.891014,33.9736929,-117.7738425,347.183812,0.054737,-0.414743,-0.082542
41493,899900000,2021,1,2,6,48,40,247,17.267971,-19.573877,-36.889538,33.97369289,-117.7738425,347.183607,0.054979,-0.414582,-0.081991
41494,902400000,2021,1,2,6,48,40,247,17.24106,-19.551981,-36.887821,33.97369288,-117.7738425,347.183403,0.0549,-0.414478,-0.081431
41495,904900000,2021,1,2,6,48,40,247,17.217709,-19.530237,-36.886238,33.97369287,-117.7738425,347.1832,0.054861,-0.414544,-0.080813
41496,907400000,2021,1,2,6,48,40,247,17.198269,-19.50823,-36.886078,33.97369286,-117.7738425,347.182999,0.054734,-0.414674,-0.080074
41497,909900000,2021,1,2,6,48,40,247,17.182016,-19.485615,-36.887306,33.97369285,-117.7738425,347.187602,0.054799,-0.414795,-0.077673
41498,912400000,2021,1,2,6,48,40,247,17.170961,-19.462307,-36.890171,33.97369284,-117.7738425,347.187409,0.054593,-0.415085,-0.07685
41499,914900000,2021,1,2,6,48,40,247,17.162561,-19.439205,-36.894577,33.97369283,-117.7738425,347.187218,0.05436,-0.415239,-0.076049
41500,917400000,2021,1,2,6,48,40,247,17.155981,-19.415363,-36.89975,33.97369282,-117.7738425,347.187029,0.054171,-0.415396,-0.075286
41501,919900000,2021,1,2,6,48,40,247,17.150215,-19.392302,-36.904743,33.97369281,-117.7738425,347.186842,0.054146,-0.415554,-0.074513
41502,922400000,2021,1,2,6,48,40,247,17.144724,-19.368795,-36.911041,33.9736928,-117.7738425,347.186656,0.053966,-0.415633,-0.073831
41503,924900000,2021,1,2,6,48,40,247,17.139076,-19.344555,-36.91724,33.97369279,-117.7738425,347.186472,0.053887,-0.415625,-0.073205
41504,927400000,2021,1,2,6,48,40,247,17.134089,-19.320923,-36.923401,33.97369279,-117.7738425,347.18629,0.053886,-0.415679,-0.072647
41505,929900000,2021,1,2,6,48,40,247,17.129217,-19.298149,-36.928822,33.97369278,-117.7738425,347.183622,0.053981,-0.415762,-0.072962
41506,932400000,2021,1,2,6,48,40,247,17.124763,-19.276224,-36.933491,33.97369277,-117.7738425,347.18344,0.053819,-0.41586,-0.072474
41507,934900000,2021,1,2,6,48,40,247,17.120171,-19.254929,-36.938976,33.97369276,-117.7738425,347.183259,0.053715,-0.416013,-0.072036
41508,937400000,2021,1,2,6,48,40,247,17.116201,-19.234854,-36.943542,33.97369275,-117.7738425,347.18308,0.053681,-0.416117,-0.071755
41509,939900000,2021,1,2,6,48,40,247,17.111189,-19.215239,-36.946056,33.97369274,-117.7738425,347.1829,0.053749,-0.416299,-0.071555
41510,942400000,2021,1,2,6,48,40,247,17.105738,-19.196432,-36.948902,33.97369273,-117.7738425,347.182721,0.05353,-0.41641,-0.071424
41511,944900000,2021,1,2,6,48,40,247,17.099401,-19.178421,-36.950985,33.97369272,-117.7738425,347.182542,0.053262,-0.416503,-0.071457
41512,947400000,2021,1,2,6,48,40,247,17.091825,-19.160145,-36.953941,33.97369271,-117.7738425,347.182363,0.053021,-0.4166,-0.071619
41513,949900000,2021,1,2,6,48,40,247,17.083834,-19.142803,-36.956371,33.9736927,-117.7738425,347.177271,0.052927,-0.416807,-0.073592
41514,952400000,2021,1,2,6,48,40,247,17.074209,-19.124645,-36.958508,33.97369269,-117.7738425,347.177087,0.052731,-0.417128,-0.074001
41515,954900000,2021,1,2,6,48,40,247,17.06333,-19.106102,-36.961048,33.97369268,-117.7738425,347.176901,0.052464,-0.41753,-0.074505
41516,957400000,2021,1,2,6,48,40,247,17.054029,-19.088078,-36.963299,33.97369267,-117.7738425,347.176714,0.052262,-0.417976,-0.07514
41517,959900000,2021,1,2,6,48,40,247,17.045563,-19.069815,-36.967098,33.97369266,-117.7738424,347.176524,0.052143,-0.418647,-0.07578
41518,962400000,2021,1,2,6,48,40,247,17.037138,-19.05089,-36.971325,33.97369265,-117.7738424,347.176334,0.051879,-0.419364,-0.076596
41519,964900000,2021,1,2,6,48,40,247,17.028994,-19.029758,-36.976101,33.97369264,-117.7738424,347.176141,0.051537,-0.420142,-0.077376
41520,967400000,2021,1,2,6,48,40,247,17.022043,-19.008192,-36.98122,33.97369264,-117.7738424,347.175947,0.051228,-0.420894,-0.078173
41521,969900000,2021,1,2,6,48,40,247,17.016645,-18.985958,-36.988598,33.97369263,-117.7738424,347.175777,0.051026,-0.421711,-0.079003
41522,972400000,2021,1,2,6,48,40,247,17.010469,-18.961622,-36.996948,33.97369262,-117.7738424,347.175578,0.050752,-0.422582,-0.079848
41523,974900000,2021,1,2,6,48,40,247,17.00395,-18.935858,-37.00565,33.97369261,-117.7738424,347.175378,0.050532,-0.423308,-0.080744
41524,977400000,2021,1,2,6,48,40,247,16.9981,-18.909033,-37.015022,33.9736926,-117.7738424,347.175175,0.05035,-0.424158,-0.081574
41525,979900000,2021,1,2,6,48,40,247,16.990431,-18.880646,-37.025211,33.97369259,-117.7738424,347.17497,0.050366,-0.424958,-0.082365
41526,982400000,2021,1,2,6,48,40,247,16.981253,-18.852148,-37.035675,33.97369258,-117.7738424,347.174763,0.050287,-0.425561,-0.083039
41527,984900000,2021,1,2,6,48,40,247,16.970188,-18.822647,-37.047043,33.97369257,-117.7738424,347.174555,0.050254,-0.426158,-0.083667
41528,987400000,2021,1,2,6,48,40,247,16.955976,-18.793669,-37.057022,33.97369256,-117.7738424,347.174345,0.050226,-0.426703,-0.084183
41529,989900000,2021,1,2,6,48,40,247,16.939528,-18.764824,-37.067051,33.97369255,-117.7738424,347.174178,0.050384,-0.427318,-0.084546
41530,992400000,2021,1,2,6,48,40,247,16.92164,-18.735954,-37.076817,33.97369254,-117.7738424,347.173967,0.050374,-0.42778,-0.08491
41531,994900000,2021,1,2,6,48,40,247,16.900248,-18.709213,-37.085823,33.97369253,-117.7738424,347.173754,0.050333,-0.428183,-0.085159
41532,997400000,2021,1,2,6,48,40,247,16.877062,-18.682314,-37.095482,33.97369252,-117.7738424,347.173541,0.050296,-0.42844,-0.085513
41533,999900000,2021,1,2,6,48,40,247,16.850447,-18.655327,-37.104321,33.97369251,-117.7738424,347.173327,0.050582,-0.42865,-0.085776
41534,2400000,2021,1,2,6,48,41,247,16.821396,-18.629463,-37.112026,33.9736925,-117.7738424,347.173112,0.050695,-0.428519,-0.086029
41535,4900000,2021,1,2,6,48,41,247,16.787979,-18.604902,-37.119427,33.97369249,-117.7738424,347.172897,0.05092,-0.428322,-0.086309
41536,7400000,2021,1,2,6,48,41,247,16.752474,-18.582191,-37.125187,33.97369248,-117.7738424,347.172681,0.051236,-0.428076,-0.086591
41537,9900000,2021,1,2,6,48,41,247,16.713743,-18.559423,-37.128365,33.97369247,-117.7738424,347.177463,0.05182,-0.427744,-0.085201
41538,12400000,2021,1,2,6,48,41,247,16.6735,-18.537905,-37.131203,33.97369246,-117.7738424,347.17725,0.052069,-0.427334,-0.085546
41539,14900000,2021,1,2,6,48,41,247,16.631866,-18.516329,-37.132904,33.97369245,-117.7738424,347.177035,0.052359,-0.426904,-0.086076
41540,17400000,2021,1,2,6,48,41,247,16.589081,-18.496193,-37.13308,33.97369244,-117.7738424,347.17682,0.052532,-0.426503,-0.086541
41541,19900000,2021,1,2,6,48,41,247,16.546974,-18.476898,-37.13361,33.97369243,-117.7738424,347.176603,0.052897,-0.426034,-0.087046
41542,22400000,2021,1,2,6,48,41,247,16.503607,-18.457922,-37.133602,33.97369242,-117.7738424,347.176384,0.053001,-0.425797,-0.087571
41543,24900000,2021,1,2,6,48,41,247,16.460321,-18.437811,-37.13385,33.97369241,-117.7738424,347.176165,0.053054,-0.425539,-0.08813
41544,27400000,2021,1,2,6,48,41,247,16.417641,-18.417372,-37.134346,33.97369241,-117.7738424,347.175944,0.053055,-0.42523,-0.08869
41545,29900000,2021,1,2,6,48,41,247,16.375048,-18.396732,-37.135754,33.9736924,-117.7738424,347.175749,0.053399,-0.424864,-0.089204
41546,32400000,2021,1,2,6,48,41,247,16.333025,-18.375227,-37.136646,33.97369239,-117.7738424,347.175525,0.053447,-0.424714,-0.089787
41547,34900000,2021,1,2,6,48,41,247,16.291431,-18.35206,-37.138184,33.97369238,-117.7738424,347.1753,0.05351,-0.424453,-0.090263
